"Id","Titulo_P","Subtitulo_P","Descripcion","Valor","Marca","Categoria","Subcategoria","Sub_sub_categoria","URL_Redireccion","URL_Imagen_Principal","URL_Imagen_2","URL_Imagen_3","URL_Imagen_4","URL_Imagen_5","Tienda"
13875,"Bañera Nowy Baby Ergoflex Cyan","Profundidad e inclinación ajustable. Patas antideslizantes","Bañera Nowy Baby Ergoflex. Realizada con materiales rígidos y flexibles, ergoflex® permite ajustar su profundidad e inclinación para brindar seguridad y ergonomía a los niños y a su vez facilitar la tarea de los papás. Posee patas antideslizantes y está confeccionada con material suave y confortable de secado rápido y bajo las normas de la comunidad europea.",123456,"Lidercar SA","Mundo Bebé","Baño","Bañeras","http://www.carrefour.com.ar/mundo-bebe/banio/ba-eras/ba-era-nowy-baby-ergoflex-cyan.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/3/737590285394_3.jpg",,,,,"Carrefour"
13374,"Set de Vajilla Matrix Lima 16 Piezas","Confeccionado en porcelana, ideal para 4 comensales. Vestí tu mesa de todos los días!","Set de vajilla de 16 piezas, confeccionado en porcelana. La porcelana es un material cerámico tradicionalmente blanco, compacto, duro, impermeable, fuerte, resonante, de baja elasticidad y altamente resistente al ataque químico y al choque térmico, utilizado para fabricar los diversos componentes de las vajillas y para jarrones, lámparas, esculturas y elementos ornamentales y decorativos.","$ 2244,55",,"Hogar y Bazar","Cocina","Vajillas","http://www.carrefour.com.ar/hogar-y-bazar/cocina/vajillas/set-de-vajilla-16-pzas-matrix-verde-lima.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/6/2651651000000_a.jpg",,,,,"Carrefour"
13423,"Set de Vajilla Matrix Petroleo 16 Piezas","Confeccionado en porcelana, ideal para 4 comensales. Vestí tu mesa de todos los días!","Set de vajilla de 16 piezas, confeccionado en porcelana. La porcelana es un material cerámico tradicionalmente blanco, compacto, duro, impermeable, fuerte, resonante, de baja elasticidad y altamente resistente al ataque químico y al choque térmico, utilizado para fabricar los diversos componentes de las vajillas y para jarrones, lámparas, esculturas y elementos ornamentales y decorativos.","$ 11.950,00",,"Hogar y Bazar","Cocina","Vajillas","http://www.carrefour.com.ar/hogar-y-bazar/cocina/vajillas/set-de-vajilla-16-pzas-matrix-petroleo.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/8/7861075662998_a_1.jpg",,,,,"Carrefour"
14571,"AIO Noblex A19W1 Intel Pentium N3540 19.5""","Pantalla de 19,5“ - Intel Pentium N3540 - 4 GB RAM - 500 GB de Almacenamiento","La PC All in One A19W1 está equipada con sistema operativo Windows 10 y procesador Intel Celeron N3540 para que puedas realizar todas las tareas de manera ágil. Además, cuenta con 4 GB de memoria y una capacidad de almacenamiento de 500 GB y 5400 RPM, para que descargues tus aplicaciones favoritas, fotos, vídeos y mucho más.","$ 10.999,00","Noblex","¡ MAYO DEMOLEDOR !","¡ 12 Cuotas Sin Interés !","Tecnología","http://www.carrefour.com.ar/mayo-demoledor/12-cuotas-sin-interes/tecnologia/aio-noblex-pentium-n3540-19-5-4gb-500gb.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/e/l/elcd_0001_7796962901914.jpg",,,,,"Carrefour"
5567,"Balanza de Baño Digital Ga.Ma SCF-2000","Balanza de Baño Ga.Ma Digital SCF-2000 con vidrio negro. Tiene un sistema de sensores de alta precisión para dar resultados exactos. Su pantalla digital es de cristal líquido.","Balanza de uso personal de vidrio negro. Tiene un sistema de sensores de alta precisión para dar resultados exactos. Su pantalla digital es de cristal líquido, tiene cero automático y apagado automático. Funciona con alimentación por batería.","$ 845,00","Ga.Ma","Cuidado Personal y Salud","Cuidado de la Salud","Balanzas de baño","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-de-la-salud/balanzas-de-bano/balanza-de-ba-o-ga-ma-digital-scf-2000.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/0/8023277106932.jpg",,,,,"Carrefour"
5588,"Balanza de Baño San Up 5008","Balanza De Baño San Up 5008. Plataforma de vidrio Capacidad maxima 150 Kg. Divide cada 100 Gr.","Balanza De Baño San Up 5008. Plataforma de vidrio Capacidad maxima 150 Kg. Divide cada 100 Gr.","$ 799,00","San Up","Cuidado Personal y Salud","Cuidado de la Salud","Balanzas de baño","http://www.carrefour.com.ar/cuidado-personal-y-salud/cuidado-de-la-salud/balanzas-de-bano/balanza-de-ba-o-san-up-5008.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7793647000467.jpg",,,,,"Carrefour"
13876,"Bañera Nowy Baby Ergoflex Verde","Profundidad e inclinación ajustable. Patas antideslizantes","Bañera Nowy Baby Ergoflex. Realizada con materiales rígidos y flexibles, ergoflex® permite ajustar su profundidad e inclinación para brindar seguridad y ergonomía a los niños y a su vez facilitar la tarea de los papás. Posee patas antideslizantes y está  confeccionada con material suave y confortable de secado rápido y bajo las normas de la comunidad europea.","$ 1.519,00","Lidercar SA","Mundo Bebé","Baño","Bañeras","http://www.carrefour.com.ar/mundo-bebe/banio/ba-eras/ba-era-nowy-baby-ergoflex-verde.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/3/737590285400_3.jpg",,,,,"Carrefour"
13918,"Andador Musical Priori Conejo Con Manija Naranja","Posee 8 ruedas que lo convierten en super estable y dinámico. Incluye manija para que el adulto pueda controlar la unidad.","El Andador Musical Priori posee una amplia bandeja frontal con forma de conejo que emite sonidos, estimulando y divirtiendo a tu bebé. Su asiento acolchado y forrado en tela otorga sensación agradable al tacto. Es super estable, ya que posee 8 ruedas que a su vez permiten un mayor movimiento de la unidad. Trae incorporada una manija en la parte trasera, para que el padre pueda controlar la unidad facilmente. No incluye pilas.","$ 1.199,00","Priori","Mundo Bebé","Sillitas, Cunas y Andadores","Andadores","http://www.carrefour.com.ar/mundo-bebe/sillitas-cunas-y-andadores/andadores/andador-musical-conejo.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798081060343-3.jpg",,,,,"Carrefour"
13941,"Termómetro de Ambiente y Baño Avent 550/20","Diseño divertido que lo convierte en un juguete seguro para el bebé.","El termómetro digital para el baño y la habitación de Philips Avent controla convenientemente la temperatura tanto del baño como de la habitación. Además, se ha comprobado que su diseño lo convierte en un juguete seguro y divertido para el baño. Diseñado como un juguete seguro y divertido para que bebés de todas las edades jueguen con él durante el baño. Permite determinar cómodamente la temperatura ideal para el baño o la habitación de su bebé. Su bebé se sentirá más cómodo en el baño si al agua está entre 36,5 °C y 38 °C. Una temperatura de 39°C o más es demasiado caliente y su bebé podría sufrir quemaduras. Con una temperatura ambiente de 18°C los bebés se sienten más cómodos al dormir.","$ 508,00","Avent","Mundo Bebé","Cuidado del Bebé","Termómetros","http://www.carrefour.com.ar/mundo-bebe/cuidado-del-bebe/termometros/termometro-de-ambiente-y-bano-avent-550.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/7/8710103306191-1.jpg",,,,,"Carrefour"
7440,"Nebulizador Ultrasónico Aspen NU 610","Nebulizador Ultrasónico Aspen NU 610 Fácilmente transportable. Ideal para niños y adultos. Timer de apagado automático. Regulador digital de niebla. Ultrasilencionso. Sistema monocamára.","Tiempo de nebulización: 5 min. Fácilmente transportable. Para uso familiar y profesional. Ideal para niños y adultos. Timer de apagado automático. Regulador digital de niebla. Ultrasilencionso. Sistema monocamára.
Cumple con las normas de baja emisión electromagnética.","$ 1.669,00","Aspen","Mundo Bebé","Cuidado del Bebé","Nebulizadores","http://www.carrefour.com.ar/mundo-bebe/cuidado-del-bebe/nebulizadores/nebulizador-ultrasonico-aspen-nu-610.html","http://cdn.carrefour.com.ar/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/b/e/bel_0000_7790808031971.jpg",,,,,"Carrefour"
